99,99
59,59
43,43
38,38
65,65
74,74
41,41
58,58
48,48
73,73
26,26
5,5
76,76
92,92
54,54
80,80
26,26
28,28
91,91
30,30
57,57
51,51
76,76
73,73
1,1
99,99
47,47
52,52
46,46
57,57
78,78
95,95
47,47
72,72
77,77
1,1
78,78
44,44
101,101
49,49
67,67
61,61
55,55
27,27
60,60
58,58
10,10
27,27
6,6
87,87
38,38
54,54
5,5
29,29
63,63
96,96
98,98
75,75
73,73
28,28
14,14
97,97
14,14
31,31
48,48
71,71
99,99
59,59
62,62
12,12
1,1
49,49
78,78
90,90
4,4
24,24
61,61
38,38
43,43
15,15
38,38
19,19
30,30
80,80
36,36
48,48
18,18
92,92
81,81
88,88
43,43
47,47
67,67
80,80
85,85
36,36
45,45
28,28
17,17
3,3
52,52
82,82
25,25
75,75
72,72
24,24
17,17
100,100
2,2
85,85
69,69
75,75
98,98
58,58
99,99
91,91
27,27
67,67
51,51
44,44
11,11
39,39
23,23
59,59
39,39
93,93
55,55
61,61
90,90
36,36
75,75
99,99
47,47
7,7
88,88
93,93
76,76
7,7
58,58
77,77
64,64
4,4
30,30
5,5
50,50
51,51
89,89
94,94
59,59
85,85
22,22
31,31
47,47
60,60
17,17
43,43
38,38
81,81
91,91
5,5
41,41
90,90
85,85
99,99
92,92
30,30
17,17
91,91
38,38
45,45
30,30
9,9
39,39
21,21
14,14
48,48
1,1
55,55
18,18
23,23
22,22
28,28
100,100
89,89
72,72
22,22
19,19
89,89
9,9
2,2
38,38
72,72
34,34
14,14
43,43
5,5
36,36
28,28
25,25
18,18
81,81
54,54
85,85
16,16
39,39
90,90
94,94
17,17
7,7
83,83
51,51
75,75
94,94
78,78
85,85
38,38
83,83
80,80
14,14
14,14
23,23
51,51
14,14
42,42
78,78
68,68
54,54
2,2
4,4
43,43
6,6
53,53
68,68
25,25
82,82
27,27
34,34
69,69
70,70
92,92
1,1
5,5
37,37
18,18
64,64
17,17
67,67
27,27
8,8
37,37
22,22
43,43
22,22
63,63
20,20
49,49
62,62
77,77
37,37
4,4
2,2
22,22
81,81
56,56
1,1
68,68
73,73
24,24
58,58
76,76
7,7
98,98
22,22
98,98
91,91
77,77
47,47
24,24
14,14
85,85
41,41
2,2
28,28
20,20
92,92
94,94
54,54
68,68
15,15
53,53
101,101
34,34
89,89
99,99
64,64
40,40
55,55
63,63
101,101
27,27
78,78
80,80
82,82
5,5
29,29
13,13
22,22
1,1
31,31
99,99
58,58
76,76
57,57
65,65
57,57
70,70
87,87
55,55
94,94
85,85
30,30
92,92
85,85
43,43
94,94
43,43
43,43
27,27
59,59
7,7
59,59
43,43
91,91
